name,country,address,email
DOVER COLLEGE,Angleterre,"Effingham Crescent, DOVER, CT17  9RH",Dover College - Admissions [Admissions@dovercollege.org.uk]
DURHAM SCHOOL,Angleterre,"Quarryheads Lane, Durham, DH1 4SZ",e.cathrae@durhamschool.co.uk
DUSEMOND,Angleterre,,rupert@dusemond.co.uk
EARLSCLIFFE,Angleterre,29 Shorncliffe Road Folkestone Kent CT20 2NB,TimFish@earlscliffe.co.uk; summer@earlscliffe.co.uk
EC,Angleterre,"Will Wyatt Court, 168 Pitfield St, Hoxton, London N1 6JP",
ECI,Angleterre,,
EXSPORTISE,Angleterre,"Exsportise Ltd, Aberdeen House, South Road, Haywards Heath, West Sussex, RH16 4NG",bram@exsportise.co.uk / admin@exportise.co.uk
FRANCES KING,Angleterre,77 Gloucester Road  London SW7 4SS ,garth.younghusband@francesking.com
FYLING HALL SCHOOL,Angleterre,"Robin Hood's Bay, North Yorkshire, YO22 4QD, England",headmaster@flyinghall.org
GREAT BALLARD,Angleterre,"Eartham, NR. Chichester, Sussex, PO18 OLR",office@greatballard.co.uk
HARROGATE LADIES COLLEGE,Angleterre,,
HLI Angleterre,Angleterre,"Le Coronado, 20 avenue de Fontvieille, Monaco",antony@homelanguageinternational.com
ILH,Angleterre,"TheTowers, 38 Hawley Square, Margate, Kent CT9 1PH",info@ilh.com; ross@ilh.com
INTUITION,Angleterre,4 Ravey Street London EC2A 4QP,learn@intuitionlang.com
ISCA,Angleterre,4 Mount Radford Crescent EXETER EX2 4EN ,study@iscaschool.com
KENT COLLEGE CANTERBURY,Angleterre,"Whitstable Road, Canterbury, Kent, CT2 9DT",registrar@kentcollege.co.uk
KING EDWARD'S SCHOOL,Angleterre,"Petworth Road, Witley, Godalming, Surrey, GU8 5SG",admissions@kesw.surrey.sch.uk
KINGHAM HILL SCHOOL,Angleterre,"Kingham, Chipping Norton, Oxfordshire, OX7 6TH","Cavan, J [J.Cavan@kingham-hill.oxon.sch.uk]"
KINGSLEY SCHOOL BIDEFORD,Angleterre,"Northdown Road, Bideford, Devon, EX39 3LY, England",woolcotts@kingsleyschoolbideford.co.uk
KINGSWOOD SCHOOL,Angleterre,"Lansdown Rd, Bath BA1 5RG, UK",Registrar <dwp@kingswood.bath.sch.uk>
LINES,Angleterre,Sherpherd's way Brookman's Perk Hatfield Hertfondshire,dirk@lines.ac
LLANDOVERY COLLEGE,Angleterre,"Queensway, llandovery, Carmarthenshire, SA20 0EE",admissions@llandoverycollege.com
LORETTO SCHOOL,Angleterre,"Linkfield Road, Musselburgh, East Lothian, EH21 7RE, Scotland, UK",admissions@loretto.com
LUCTON SCHOOL,Angleterre,"Lucton, Leominster, herfordshire HR6  9PN",bursar@luctonschool.org
MOIRA HOUSE ,Angleterre,"Upper Carlisle Road, Eastbourne, East Sussex BN20 7TE",James Harding <JHarding@moirahouse.co.uk>
MORETON HALL,Angleterre,"Weston Rhyn, Oswestry, Shropshire, SY11 3EW",admin@moretonhall.com
NEW HALL SCHOOL,Angleterre,Chelmsford ESSEX CM3 3HS,
OSWESTRY SCHOOL,Angleterre,"Upper Brook Street, Oswestry, Shropshire, SY11 2TL, England",admissions@oswestryschool.org.uk
OXFORD SUMMER COURSES,Angleterre,,charlottesabin@oxfordsummercourses.com
PGL,Angleterre,"Alton Court, Penyard Lane, Ross-On-Wye, Herefordshire, HR9 5GL",Audrey.Pellerin@pgl.co.uk
PRIOR PARK COLLEGE,Angleterre,"Ralph Allen Drive, Combe Down, Bath, BA2 5AH, UK",vquinn@priorpark.co.uk
PROFESSIONALS UK,Angleterre,"Western Rd, Brighton BN1 2NW, Royaume-Uni",bella@professionals.uk.com
QUEENSWOOD SCHOOL,Angleterre,"Shepherd's Way, Brookmans Park, Hatfield, Hertfordshire, AL9 6NS, UK",admissions@queenswood.org
RATCLIFFE COLLEGE,Angleterre,"fOSSE wAY, Ratcliffe on the Wreake, Leicester LE7 4SG",registrar@ratcliffe.leics.sch.uk
RENDCOMB COLLEGE,Angleterre,"Rencomb nr Cirencester, Gloucestershire GL7 7HA",stutchburyjd@rendcomb.gloucs.sch.uk
RISHWORTH SCHOOL,Angleterre,"Rishworth, Sowerby Bridge  West Yorkshire HX6 4QA",dkeeble@rishworth-school.co.uk
ROSSALL SCHOOL,Angleterre,Fleetwood Lancashire FY7 8JW,michelleM@rossallcoporation.co.uk
ROYAL HOSPITAL SCHOOL,Angleterre,"Royal Hospital Road, Chelsea SW3 4SR",Linda Hacking <lhacking@royalhospitalschool.org>
RYDE SCHOOL,Angleterre,"Queen's Road, Ryde, Isle of Wight, PO33 3BE, UK",rsc@rydeschool.net  ou  BMC@rydeschool.org.uk 
SCOLARITE GB,Angleterre,,
SOUTHBOURNE SCHOOL,Angleterre,30 Beaufort Road Southbourne Bournemouth Dorset BH6 5AL,sally.kanan@southbourneschool.co.uk / Paul.Gallina@southbourneschool.co.uk
ST ANDREWS PREP SCHOOL,Angleterre,"Meads Street, Eastbourne, East Sussex, BN20 7RP",Offord S <sofford@standrewsprep.co.uk>
ST BEES SCHOOL,Angleterre,"St Bees, Cumbria, CA27 0DS, England",helen.gascoyne@st-bees-school.co.uk
ST CLARE'S,Angleterre,139 Banbury road Oxford OX2 7AL,patricia.alvarez@stclares.ac.uk
ST EDMUNDS,Angleterre,"Old hall Green, Hertfordshire, SG11 1DS ",international@stedmundscollege.org
ST JAMES SCHOOL GRIMSBY,Angleterre,"22 Bargate, Grimsby, Lincolnshire, DN34 4SY, England",becky.fisher@saintjamesschool.co.uk
ST MICHAEL'S COLLEGE,Angleterre,"Oldwood Road, Tenbury Wells",smc.admissions@kingsgroup.org
ST TERESA'S SCHOOL,Angleterre,"Beech Avenue, Effingham Hill, Dorking, Surrey, RH5 6ST, England",a.charles@st-teresas.com
STAFFORD,Angleterre,19 New Dover Road Canterbury CT1 3AH,Reservations@staffordhouse.com
STONAR SCHOOL,Angleterre,"Cottles Park, Atworth, Wiltshire, SN12 8NT, UK",k.ibbott@stonarschool.com
TRINITY SCHOOL,Angleterre," Buckeridge Road, Teignmouth, Devon, TQ14 8LY",registrar@trinityschool.co.uk
UNIVERSITE,Angleterre,,
WARMINSTER SCHOOL,Angleterre,"Church Street, Warminster, BA12 8PJ             ",gwebb@warminsterschool.org.uk
WREKIN COLLEGE,Angleterre,"Sutherland Rd  Wellington, Telford and Wrekin TF1 3BH, United Kingdom",Daniel Rutter <drutter@wrekincollege.com>
ECELA,Argentine,Ayacucho 1176 (Recoleta) Buenos Aires,booking@ecela.com
AFX,Australie,"Suite 1, 48/50 River St, South Yarra VIC 3141",australia@afxstudentexchange.com
AFX immersion france,Australie,"Suite 1, 48/50 River St, South Yarra VIC 3141",australia@afxstudentexchange.com
BOND UNIVERSITY,Australie,"BUELI, Bond University, Gold Coast, QLD",rhinton@bond.edu.au
CONSERVATION VOLUNTEER,Australie,PO BOX 1072 Civic Square ACT 2608,bookings@conservationvolunteers.com.au
EDUCATION QUEENSLAND,Australie,Level 18 - EDUCATION HOUSE - 30 Mary street,EQInternational@deta.qld.gov.au
EDUCATIUS AUSTRALIA,Australie,Educatius Group AB - Drottninggatan 10 - 441 14 Gothenburg - Sweden,dagmar.scupin@educatius.org
LANGPORTS,Australie,33 Herschel street GPO Box 3213 Brisbane Queensland 4001 ,info@langports.com
LEXIS ENGLISH,Australie,6 Lanyana Way Noosa Junction QLD 4567,esalisbury@lexisenglish.com
LYCEUM,Australie,"Ground Floor, 313-315 Flinders Lane, Melbourne, Australia, 3000",veronika@lyceumenglish.com
MERCEDES COLLEGE,Australie,540 Fullarton Rd Springfield 5062 South Australia,
PICE,Australie,"100 Murray Street, Perth City, WA  6000, Australia",vicky.dunford@pice.com.au
PROFESSIONAL PATHWAYS,Australie,Level 10 / 190 Queen Street / Melbourne / Victoria 3000,
SACE,Australie,"Tower 4, Level 5, World Trade Centre, 18-38 Siddeley Street, Melbourne, 3005, Victoria",Angus Tuck <ATuck@sacecoll.sa.edu.au>
TALKABOUT TOURS,Australie,"	8 Bristol Ave, Bicton WA 6157, Australie",mara@talkabouttours.com
UWA,Australie,"35 Stirling Highway Crawley, Perth Western Australia 6009 ",sarah.rudling@uwa.edu.au
VISITOZ,Australie,"Springbrook Farm, 8921 Burnett Highway, Goomeri Qld 4601",joanna@visitoz.org
WORK TRAVEL CY,Australie,"Ground floor, 234 Sussex Street, Sydney, NSW 2000, Australie",sylvia@worktravelcompany.com.au
WORK'N HOLIDAY,Australie,"Level 4, 630 George Street Sydney NSW 2000  ", sam@worknholiday.com
ACTILINGUA,Autriche,Wattman Gasse 15 A 1130 WIEN,german@actilingua.com
CAMP BIl-O-WOOD,Canada,"1102 Granary Lake Road, Blind River, ONT  P0R-1B0",jimludwig@bil-o-wood.com
CAMP KANDALORE,Canada,"1143 Kandalore Road, Algonquin Highlands, ON K0M 1J2",alyson@canadiansummercamps.com
CAMP ONONDAGA,Canada,"1120 Rackety Trail, R.R.#3, Minden, Ontario, K0M 2K0",alyson@canadiansummercamps.com
CAMP WALDEN,Canada,"R.R. #2 (38483 Hwy-28) Palmer Rapids, Ontario K0J 2E0",
CENTAURI,Canada,"6726 S Chippawa Rd, Wellandport, ON L0R 2J0",julie@centauriartscamp.com
DESTINATION CANADA,Canada,"English Summer Language Program Box 4805, Station E Ottawa Ontario, K1S 5H9,",info@destination-canada.ca
EC CANADA,Canada,,ChantalBriffa@ecenglish.com
HLI Canada,Canada,"Le Coronado, 20 avenue de Fontvieille, Monaco",antony@homelanguageinternational.com
ILH,Canada,,
KINGSTON LIMESTONE DISTRICT SCHOOL BOARD,Canada,"The Limestone District School Board, International Education, Postal Bag 610, 220 Portsmouth Avenue, Kingston, Ontario, CANADA K7L 4X4",international@limestone.on.ca
NIAGARA,Canada,"3373 First Avenue,  Vineland, ONTARIO LOR 2E0",adelgado@niagaraacademy.ca
NORTHWATERS,Canada,"P.O BOX 205, Westport NY 12993",cena@northwaters.com
NOVA SCOTIA INTERNATIONAL STUDENT PROGRAM,Canada,"60 Lorne Street, TRURO, NOVA SCOTIA",Susan Rann [RannSJ@ccrsb.ca] ou ASHTONAL@gov.ns.ca
SAFARI ZOO CAMP,Canada,"3667 Concession Road 6, Orono, Ontario, L0B 1M0, Canada",safarizoocamp@gmail.com
TAMWOOD,Canada,"offic of admissions, 3rd Floor 909 Burrard street, VANCOUVER, BC V 6 Z -2N,",SQuinn@tamwood.com;tamsin@tamwood.com
TEEN RANCH,Canada,"20682 Hurontario St. Caledon, Ontario L7K 1X1",ann@teenranch.on.ca
ECELA Santiago,Chili,"Román Díaz 297, Providencia, Santiago",booking@ecela.com
INSIDE CHILE,Chili,"Carlos Antunez 2025, Oficina 301, Providencia, Santiago ",alan@insidechile.org
LTL,CHINE,"Suite 2910 Building C, Sunshine 100. GuangHua St. 2 Chaoyang District, Beijing 100026",andreas@livethelanguage.cn
GLENALMOND COLLEGE,Ecosse,"Glenalmond, Perth, Perth & Kinross PH1 3RY",MikeJeffers <MikeJeffers@GlenalmondCollege.co.uk>
INTUITION,Ecosse,4 Ravey Street London EC2A 4QP,learn@intuitionlang.com
CLIC,Espagne,Albareda 19 41001 Sevilla,frederic@clic.es
ENFOREX,Espagne,Alberto Aguilera 26 - 28015 MADRID,sonia.lopez@enforex.es
GALA,Espagne,"C/ Trafalgar, 19 08010 Barcelona",carolms@galainternacional.com
MALACA Instituto,Espagne,Cortada 6 Cerrado de Calderon 29018 Malaga,lisa@malacainstituto.com
HLI France,france,"Le Coronado, 20 avenue de Fontvieille, Monaco",antony@homelanguageinternational.com
ILH FRANCE,France,,
SHA,france,,
IDEX,Inde,"A-14 A Indrapuri, Lal Kothi Jaipur (Rajasthan) 302015",Ninad Sharma - Idex [ninad@idex.in]
HLI ,INTERNATIONAL,"Le Coronado, 20 avenue de Fontvieille, Monaco",antony@homelanguageinternational.com
VOL Sans séjour,INTERNATIONAL,,
ACET,Irlande,"16 St. Patrick's Place, Wellington House,Wellington Road, Cork, T23 AK82 Ireland",wpower@acetireland.ie
BALLYNEETY,Irlande,"High School Ireland and Ballyneety Langue School, Ballinagarde, Ballyneety, Co.Limerick",highschoolireland@gmail.com
CROSSOGUE HOUSE,Irlande,Ballycahill Thurles Co. Tipperary,enquiries@crossogue-equestrian.ie
CTL IRELAND,Irlande,"9 Sunmount, Military Hill, Cork City, Ireland",anton@ctlireland.org
DRUMMONA,Irlande,Drummona House Dundrum Tipperary  ,drummonahousegolf@gmail.com
ECI,Irlande,"Emerald Cultural Institute, 10 Palmerston Park, Rathgar, Dublin 6",Scarlett@eci.ie / Conor OGrady <Conor@eci.ie>Conor OGrady <Conor@eci.ie>
FRANCES KING (Dublin),Irlande,"26 Merrion Square, Dublin 2, IRELAND",
HLI Irlande,Irlande,"Le Coronado, 20 avenue de Fontvieille, Monaco",antony@homelanguageinternational.com
ILH,Irlande,-voir fiche famille irlandaise-,
INTUITION,Irlande,4 Ravey Street London EC2A 4QP,learn@intuitionlang.com
ISTUDY,Irlande,4 Meeting House Lane Mary's Abbey DUBLIN7,
PACE,Irlande,"29/30 Dublin Road, Bray, Co.Wicklow",evin@paceinstitute.ie;christiane@paceinstitute.ie
ROCKPORT SCHOOL,Irlande,Belfast,schooloffice@rockportschool.com
THE KING'S HOSPITAL ,Irlande,"PALMERSTOWN, DUBLIN 20, D20 V256",KH Admission <khadmissions@thekingshospital.ie>
HLI Italie,Italie,"Le Coronado, 20 avenue de Fontvieille, Monaco",antony@homelanguageinternational.com
LINGUAVIVA,Italie,Via Fiume 17 50123 FIRENZE,giorgia@linguadue.com
GENKI,Japon,"Genki Building, Hakataekihigashi 1-16-23, Hakata-ku, Fukuoka-shi, 812-0013, Japan",evan@genkijacs.com ou info@genkijacs.com
EC,Malte,Marguerite Mangion Street St Julians STJ02,ChantalBriffa@ecenglish.com
KIWI ENGLISH ACADEMY,Nouvelle Zélande,"PO Box 113-042 Newmarket, Auckland, New Zealand",admin@kiwienglish.co.nz
ECELA,Pérou,,idem autres destinations
LES ELFES,SUISSE,"Case Postale 174,1936 VERBIER ",
AAA,USA,"67 Tanglewood Drive,  Summit   NJ 07901",rumsonh3@aol.com;AAIASandy@comcast.net
ADDANACCENT AMERICAN,USA,,dkirlin@me.com
ALLEGHENY-GRIER,USA,"2522 Grier school road, Birmingham PA 16686",bestcamp@grier.org
BOLD EARTH,USA,2308 Fossil Trace Drive GOLDEN Colorado 80401 ,josh@boldearth.com
CAMP BIRCH HILL,USA,"333 Birch Hill Rd, New Durham, NH 03855, États-Unis",chrissy.morell@gmail.com
CAMP CAYUGA,USA,"321 Niles Pond Road, Honesdale, PA 18431",info@campcayuga.com
CAMP CHATUGA,USA," 291 Camp Chatuga Rd, Mountain Rest, SC 29664",mail@campchatuga.com
CAMP CHELEY COLORADO,USA,"3960 Fish creek RD Estes Park , CO 80517",jeffcheley@cheley.com
CAMP CONRAD WEISER,USA,"201 Cushion Peak Road Wernersville, PA 17569 ",ycamps@smymca.org
CAMP EAGLE HILL,USA,"232 White Oak Road Elizaville, NY 12523",summer@campeaglehill.com
CAMP ECHO HILL,USA,"13655 Bloomingneck Road,Worton, MD 21678",info@echohillcamp.com
CAMP FAIRVIEW LAKE,USA,"1035 Fairview Lake Road, Newton, NJ 07860",jculpepper@metroymcas.org
CAMP FLEUR DE LIS,USA,"120 Howeville Road Fitzwilliam, NH 03447",carrie@fleurdeliscamp.org
CAMP FOLEY,USA,"9303 Father Foley drive, Pine River MN  56474-921",mary@campfoley.com
CAMP FRIENDSHIP,USA,"573 Friendship Way, Palmyra, VA 22963 ",cris@campfriendship.com
CAMP GOOD NEWS,USA,"71 route 130, Forestdale, MA 02644",office@campgoodnews.org
CAMP GREEN LANE,USA,"249 Camp Green Lane Rd, Green Lane, PA 18054, États-Unis",jay@greenlane.com
CAMP GREENBRIER,USA,"100 CampGreenbrier Drive, Alderson, West Virginia, 24910",woofus@juno.com / info@campgreenbrier.com 
CAMP GREENVILLE,USA,"YMCA Salomon Jones road, Cedar Mountain, NC 28718",dlong@ymcagreenville.org
CAMP HALF MOON,USA,"18 Camp Half-Moon Rd, Great Barrington, MA 01230, États-Unis",camphalfmoon@gmail.com
CAMP HI-ROCK,USA,"162, East street, Mount Washington, MA 01258",camperservice@camphirock.org
CAMP HIDDEN MEADOWS,USA,"17739 Potomac Highland Trail Bartow, WV  24920",office@camphiddenmeadows.com
CAMP HORIZONS,USA,"3586 Horizons way,Harrisonburg, VA 22802 ", farmerc@horizonsva.com; McGloonB@horizonsva.com
CAMP KENNYBROOK,USA,"633 Saw Mill River road, Ardsley, NY, 10502",phil@kennybrook.com
CAMP KINGSLEY PINES,USA,"51 coughlanCove Road,Raymond, Maine 04071  ",alank@kingsleypines.com
CAMP LAKEGREELEY,USA,"222 Greeley Lake Road., Greeley, PA 18425",jtucker@lakegreeley.com
CAMP LAKOTA,USA,"56 Park Rd, Wurtsboro, NY 12790",Michael Childs <michael.childs@camplakota.com>
CAMP LINCOLN - LAKE HUBERT,USA,"Nashway Road, Lake Hubert, MN 56459",camp@lincoln-lakehubert.com
CAMP LOHIKAN,USA,"343 Wallerville Road, Lake Como, PA 18437",info@lohikan.com
CAMP MAINE TEEN CAMP,USA,"481 Brownfield Road Porter, ME,  04068  ",nicky@teencamp.com
CAMP MISHAWAKA,USA,"21525 Mishawaka Road,GRAND RAPIDS , MN 55744",info@campmishawaka.com
CAMP NORTH STAR,USA,"200 Verrill Road Poland Spring, Maine 04274",steven@cnsmaine.com
CAMP NORTH WOODS,USA,"PO Box 10, Mirror Lake, NH 03853",AGoodman@ymcaboston.org
CAMP OCKANICKON,USA,"1303 Stokes Road, Medford, NJ 08055",gregK@ycamp.org
CAMP OLYMPIA,USA,"723 Olympia Dr, Trinity, TX 75862, United States +1",dstubblefield@campolympia.com
CAMP RALPH MASON,USA,"23 Birch Ridge Road, Hardwick, NJ 07825",anna@campmason.org
CAMP RIM ROCK,USA,"Capon river road, Yellowspring WV 26865",joan@camprimrock.com
CAMP ROBIN HOOD,USA,"70 Robin Hood Rd, Brooksville, ME 04617",robinhoodoffice@gmail.com
CAMP SAINT CHARLES,USA,15375 Stella Maris Dr Newburg MD 20664,www.campstcharles.com
CAMP STONEWALL / MARIANAPOLIS,USA,"26 Chase road, Thompson, CT 06277",eschafer@marianapolis.org
CAMP TALL TIMBERS,USA,"Route 1, Box 472, High View, WV 26808-9707",funcamp@aol.com
CAMP TWIN CREEKS,USA,"9235 Huntersville road, Marlinton, WV 24954 - 5866",iain@camptwincreeks.com
CAMP UP WITH PEOPLE,USA,297 Cornerstone Lane Harrisonburg VA 22802 ,tim.lane@campupwithpeople.org
CAMP WATITOH,USA,"Center Lake, Becket, MA 01223 ",watitoh@msn.com
CAMP WAYFARER,USA,"400 Red Bird Song Road, Flat Rock, NC 28731, United States",tory@campwayfarer.com
CAMP WAZIYATAH,USA,"530 Mill Hill road, Waterford ME 04088",gregg@wazi.com
CAMP WILLIAM LAWRENCE,USA,"139 Federal Corner Rd, Center Tuftonboro, NH 03816, États-Unis",knoll@wlcamp.org
CAMP YMCA MAINE,USA,"305 Winthrop Ctr, Rd .Winthrop, PO Box 446, ME 04364 ",jeff@maineycamp.org
CARMEL VALLEY TENNIS,USA,"20805 Cachagua Road, Carmel Valley, CA 93924",cvtcss@gmail.com
CHOP POINT,USA,"420 Chop Point road, Woolwich ME 04579",jean@choppoint.org
COMPASS,USA,"11184 Huron, Suite 11, Northglenn, CO 80234",debcompass@gmail.com
DEER HILL EXPEDITIONS,USA,"7850 Road 41, Mancos, CO 81328",doug@deerhillexpeditions.com
EC,USA,"729, Boylston Street Boston, MA 02116 ",study@ecenglish.com
EDUCATIUS,USA,"22 Batterymarch Street Boston, MA 02109",gabriel.canellas@educatius.net
ELC USA,USA,"English Language Center, Boston, Los Angeles and Santa Barbara, 11 Beacon St, 2nd Floor, Boston, MA 02108",jpassistant@elc.edu
ELS,USA,"400 Alexander Park, Princeton NJ 08540",lquinn@els.edu
EMAGINATION,USA,"Emagination Computer Camps 54 Stiles Road, Suite 205 Salem, NH 03079",Paula Woodfill <paula@computercamps.com>; craig@computercamps.com
EXPLORATION,USA,"932 Washington Street, Norwood, MA 20062",akeegan@explo.org
FLS,USA,301 N. Lake Ave. Suite 310 Pasadena. CA 91101,mike@fls.net
FLS BOSTON,USA,"131 Tremont street,4th floor, Boston MA 02111",flsboston@fls.net
HLI USA,USA,"Le Coronado, 20 avenue de Fontvieille, Monaco",antony@homelanguageinternational.com
ILH USA,USA,-voir fiche famille américaine-,
JKCP,USA,"610 S. Henderson Rd, King of Prussia PA 19406",Adrian@JKCP.com
Julie GILBERT WILFORD,USA,"4849 N Moody Avenue, Chicago IL 60630",bonjourchicago@hotmail.com
MB SPORTS Camp,USA,"1071 Blue Hill avenue, Milton MA 02186",mbnikesportscamps@gmail.com
MERCERSBURG,USA,"300 east Seminary Street, Mercersburg, PA 17236 ",Jo_Wrzesinsky@mercersburg.edu
MFE,USA,"Coastal Estates 33 Ward Circle  Brunswick, ME 04011",themainefrenchexchange@gmail.com
NESE,USA,"36 John F. Kennedy Street, Cambridge, MA 02138",martha.academics@nese.edu
NIKE US SPORTS,USA,"1010 ""B"" street, suite 450, San Rafael, CA 94901",cbertiglia@ussportscamps.com
PINE MANOR COLLEGE,USA,400 Heath Street Chestnut Hill MA 02467,PMC_ELI@pmc.edu
PUTNEY,USA,"345, Hickory Ridge Road, Putney, VERMONT, 05346",jeff@goputney.com
RENNERT,USA,"216 E 45 ST., 17th Floor New York. NY 10017  USA ",WJohnson@rennert.com
RUSTIC PATHWAYS,USA,"15345 Chardon Windsor Road Huntsburg, OH 44046",pearson@rusticpathways.com
SEATTLE CENTRAL COLLEGE,USA,,
SUMMER DISCOVERY,USA,"1326 Old Northern Blvd, Roslyn, NY, 11576 (office)",susank@summerdiscovery.com
SUMMERFUEL,USA,"19 West 21st Street, Suite 702 New York, NY 10010 USA",info@summerfuel.com 
TABOR,USA,"66 SPRING STREET, MARION MA 02738",summer@taboracademy.org
TLA,USA,"200 South Andrews Avenue, Suite 401 Fort Lauderdale, FL 33301",marcopinna@languageacademy.com
USMD,USA,21 rue Marcadet 75018 PARIS,usmd@wanadoo.fr
WESTCOAST CONNECTION,USA,"154 East Boston Post Road, Mamaroneck, NY, 10543",mark@westcoastconnection.com
WORLD SPORTS CAMP,USA,"19 Payson Avenue,Easthampton, Massachusetts 01027",addam@worldsportscamp.com
